Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-auditevents,4,0,0
Cross.list-byid-auditevents-json,4,0,0
Cross.list-byid-auditevents-xml,4,0,0
Cross.list-byid-basics,4,0,0
Cross.list-byid-basics-json,4,1,0
Cross.list-byid-basics-xml,4,1,0
Cross.list-byid-binaries,4,0,0
Cross.list-byid-binaries-json,4,0,0
Cross.list-byid-binaries-xml,4,1,0
Cross.list-byid-biologicallyderivedproducts,4,0,0
Cross.list-byid-biologicallyderivedproducts-json,4,3,0
Cross.list-byid-biologicallyderivedproducts-xml,4,3,0
Cross.list-byid-bodystructures,4,0,0
Cross.list-byid-bodystructures-json,4,0,0
Cross.list-byid-bodystructures-xml,4,0,0
Cross.list-byid-bundles,4,1,0
Cross.list-byid-bundles-json,4,1,0
Cross.list-byid-bundles-xml,4,2,0
Cross.list-byid-capabilitystatements,4,2,0
Cross.list-byid-capabilitystatements-json,4,2,0
Cross.list-byid-capabilitystatements-xml,4,2,0
Cross.list-byid-careplans,4,1,0
Cross.list-byid-careplans-json,4,2,0
Cross.list-byid-careplans-xml,4,3,0
Cross.list-byid-careteams,4,0,0
Cross.list-byid-careteams-json,4,0,0
Cross.list-byid-careteams-xml,4,2,0
Cross.list-byid-catalogentries,4,0,0
Cross.list-byid-catalogentries-json,4,1,0
Cross.list-byid-catalogentries-xml,4,1,0
Cross.list-byid-chargeitemdefinitions,4,0,0
Cross.list-byid-chargeitemdefinitions-json,4,0,0
Cross.list-byid-chargeitemdefinitions-xml,4,0,0
Cross.list-byid-chargeitems,4,0,0
Cross.list-byid-chargeitems-json,4,1,0
Cross.list-byid-chargeitems-xml,4,1,0
Cross.list-byid-claimresponses,4,0,0
Cross.list-byid-claimresponses-json,4,1,0
Cross.list-byid-claimresponses-xml,4,1,0
Cross.list-byid-claims,4,0,0
Cross.list-byid-claims-json,4,0,0
Cross.list-byid-claims-xml,4,1,0
Cross.list-byid-clinicalimpressions,4,0,0
Cross.list-byid-clinicalimpressions-json,4,1,0
Cross.list-byid-clinicalimpressions-xml,4,2,0
Cross.list-byid-codesystems,4,1,792
Cross.list-byid-codesystems-json,4,1,812
Cross.list-byid-codesystems-xml,4,2,808
Cross.list-byid-communicationrequests,4,0,0
Cross.list-byid-communicationrequests-json,4,0,0
Cross.list-byid-communicationrequests-xml,4,1,0
Cross.list-byid-communications,4,1,0
Cross.list-byid-communications-json,4,1,0
Cross.list-byid-communications-xml,4,1,0
Cross.list-byid-compartmentdefinitions,4,0,0
Cross.list-byid-compartmentdefinitions-json,4,1,0
Cross.list-byid-compartmentdefinitions-xml,4,2,0
Cross.list-byid-compositions,4,0,0
Cross.list-byid-compositions-json,4,0,0
Cross.list-byid-compositions-xml,4,1,0
Cross.list-byid-conceptmaps,4,1,0
Cross.list-byid-conceptmaps-json,4,2,0
Cross.list-byid-conceptmaps-xml,4,2,0
Cross.list-byid-conditions,4,0,0
Cross.list-byid-conditions-json,4,1,0
Cross.list-byid-conditions-xml,4,2,0
Cross.list-byid-consents,4,0,0
Cross.list-byid-consents-json,4,1,0
Cross.list-byid-consents-xml,4,2,0
Cross.list-byid-contracts,4,0,0
Cross.list-byid-contracts-json,4,2,0
Cross.list-byid-contracts-xml,4,2,0
Cross.list-byid-coverageeligibilityrequests,4,1,0
Cross.list-byid-coverageeligibilityrequests-json,4,1,0
Cross.list-byid-coverageeligibilityrequests-xml,4,2,0
Cross.list-byid-coverageeligibilityresponses,4,1,0
Cross.list-byid-coverageeligibilityresponses-json,4,1,0
Cross.list-byid-coverageeligibilityresponses-xml,4,2,0
Cross.list-byid-coverages,4,0,0
Cross.list-byid-coverages-json,4,0,0
Cross.list-byid-coverages-xml,4,0,0
Cross.list-byid-detectedissues,4,0,0
Cross.list-byid-detectedissues-json,4,1,0
Cross.list-byid-detectedissues-xml,4,1,0
Cross.list-byid-devicedefinitions,4,0,0
Cross.list-byid-devicedefinitions-json,4,1,0
Cross.list-byid-devicedefinitions-xml,4,1,0
Cross.list-byid-devicemetrics,4,0,0
Cross.list-byid-devicemetrics-json,4,0,0
Cross.list-byid-devicemetrics-xml,4,0,0
Cross.list-byid-devicerequests,4,0,0
Cross.list-byid-devicerequests-json,4,1,0
Cross.list-byid-devicerequests-xml,4,1,0
Cross.list-byid-devices,4,0,0
Cross.list-byid-devices-json,4,0,0
Cross.list-byid-devices-xml,4,0,0
Cross.list-byid-deviceusestatements,4,0,0
Cross.list-byid-deviceusestatements-json,4,2,0
Cross.list-byid-deviceusestatements-xml,4,2,0
Cross.list-byid-diagnosticreports,4,0,0
Cross.list-byid-diagnosticreports-json,4,1,0
Cross.list-byid-diagnosticreports-xml,4,1,0
Cross.list-byid-documentmanifests,4,0,0
Cross.list-byid-documentmanifests-json,4,1,0
Cross.list-byid-documentmanifests-xml,4,1,0
Cross.list-byid-documentreferences,4,0,0
Cross.list-byid-documentreferences-json,4,1,0
Cross.list-byid-documentreferences-xml,4,2,0
Cross.list-byid-domainresources,4,0,0
Cross.list-byid-domainresources-json,4,0,0
Cross.list-byid-domainresources-xml,4,1,0
Cross.list-byid-effectevidencesyntheses,4,0,0
Cross.list-byid-effectevidencesyntheses-json,4,1,0
Cross.list-byid-effectevidencesyntheses-xml,4,1,0
Cross.list-byid-encounters,4,0,0
Cross.list-byid-encounters-json,4,0,0
Cross.list-byid-encounters-xml,4,0,0
Cross.list-byid-endpoints,4,0,0
Cross.list-byid-endpoints-json,4,1,0
Cross.list-byid-endpoints-xml,4,2,0
Cross.list-byid-enrollmentrequests,4,0,0
Cross.list-byid-enrollmentrequests-json,4,1,0
Cross.list-byid-enrollmentrequests-xml,4,1,0
Cross.list-byid-enrollmentresponses,4,0,0
Cross.list-byid-enrollmentresponses-json,4,2,0
Cross.list-byid-enrollmentresponses-xml,4,2,0
Cross.list-byid-episodeofcares,4,0,0
Cross.list-byid-episodeofcares-json,4,2,0
Cross.list-byid-episodeofcares-xml,4,3,0
Cross.list-byid-eventdefinitions,4,1,0
Cross.list-byid-eventdefinitions-json,4,2,0
Cross.list-byid-eventdefinitions-xml,4,3,0
Cross.list-byid-evidences,4,0,0
Cross.list-byid-evidences-json,4,0,0
Cross.list-byid-evidences-xml,4,1,0
Cross.list-byid-evidencevariables,4,0,0
Cross.list-byid-evidencevariables-json,4,1,0
Cross.list-byid-evidencevariables-xml,4,2,0
Cross.list-byid-examplescenarios,4,0,0
Cross.list-byid-examplescenarios-json,4,1,0
Cross.list-byid-examplescenarios-xml,4,2,0
Cross.list-byid-explanationofbenefits,4,0,0
Cross.list-byid-explanationofbenefits-json,4,0,0
Cross.list-byid-explanationofbenefits-xml,4,2,0
Cross.list-byid-familymemberhistories,4,0,0
Cross.list-byid-familymemberhistories-json,4,2,0
Cross.list-byid-familymemberhistories-xml,4,3,0
Cross.list-byid-flags,4,0,0
Cross.list-byid-flags-json,4,0,0
Cross.list-byid-flags-xml,4,2,0
Cross.list-byid-goals,4,0,0
Cross.list-byid-goals-json,4,1,0
Cross.list-byid-goals-xml,4,1,0
Cross.list-byid-graphdefinitions,4,0,0
Cross.list-byid-graphdefinitions-json,4,0,0
Cross.list-byid-graphdefinitions-xml,4,1,0
Cross.list-byid-groups,4,0,0
Cross.list-byid-groups-json,4,0,0
Cross.list-byid-groups-xml,4,0,0
Cross.list-byid-guidanceresponses,4,0,0
Cross.list-byid-guidanceresponses-json,4,0,0
Cross.list-byid-guidanceresponses-xml,4,2,0
Cross.list-byid-healthcareservices,4,0,0
Cross.list-byid-healthcareservices-json,4,2,0
Cross.list-byid-healthcareservices-xml,4,2,0
Cross.list-byid-imagingstudies,4,0,0
Cross.list-byid-imagingstudies-json,4,0,0
Cross.list-byid-imagingstudies-xml,4,2,0
Cross.list-byid-immunizationevaluations,4,0,0
Cross.list-byid-immunizationevaluations-json,4,0,0
Cross.list-byid-immunizationevaluations-xml,4,0,0
Cross.list-byid-immunizationrecommendations,4,0,0
Cross.list-byid-immunizationrecommendations-json,4,1,0
Cross.list-byid-immunizationrecommendations-xml,4,1,0
Cross.list-byid-immunizations,4,0,0
Cross.list-byid-immunizations-json,4,1,0
Cross.list-byid-immunizations-xml,4,2,0
Cross.list-byid-implementationguides,4,0,272
Cross.list-byid-implementationguides-json,4,1,292
Cross.list-byid-implementationguides-xml,4,1,288
Cross.list-byid-insuranceplans,4,0,0
Cross.list-byid-insuranceplans-json,4,0,0
Cross.list-byid-insuranceplans-xml,4,1,0
Cross.list-byid-invoices,4,0,0
Cross.list-byid-invoices-json,4,1,0
Cross.list-byid-invoices-xml,4,1,0
Cross.list-byid-libraries,4,0,0
Cross.list-byid-libraries-json,4,1,0
Cross.list-byid-libraries-xml,4,1,0
Cross.list-byid-linkages,4,1,0
Cross.list-byid-linkages-json,4,1,0
Cross.list-byid-linkages-xml,4,1,0
Cross.list-byid-lists,4,0,0
Cross.list-byid-lists-json,4,2,0
Cross.list-byid-lists-xml,4,2,0
Cross.list-byid-locations,4,0,0
Cross.list-byid-locations-json,4,1,0
Cross.list-byid-locations-xml,4,1,0
Cross.list-byid-measurereports,4,1,0
Cross.list-byid-measurereports-json,4,2,0
Cross.list-byid-measurereports-xml,4,2,0
Cross.list-byid-measures,4,0,0
Cross.list-byid-measures-json,4,1,0
Cross.list-byid-measures-xml,4,1,0
Cross.list-byid-media,4,0,0
Cross.list-byid-media-json,4,0,0
Cross.list-byid-media-xml,4,1,0
Cross.list-byid-medicationadministrations,4,0,0
Cross.list-byid-medicationadministrations-json,4,0,0
Cross.list-byid-medicationadministrations-xml,4,2,0
Cross.list-byid-medicationdispenses,4,0,0
Cross.list-byid-medicationdispenses-json,4,0,0
Cross.list-byid-medicationdispenses-xml,4,2,0
Cross.list-byid-medicationknowledges,4,0,0
Cross.list-byid-medicationknowledges-json,4,0,0
Cross.list-byid-medicationknowledges-xml,4,0,0
Cross.list-byid-medicationrequests,4,0,0
Cross.list-byid-medicationrequests-json,4,0,0
Cross.list-byid-medicationrequests-xml,4,2,0
Cross.list-byid-medications,4,0,0
Cross.list-byid-medications-json,4,0,0
Cross.list-byid-medications-xml,4,1,0
Cross.list-byid-medicationstatements,4,0,0
Cross.list-byid-medicationstatements-json,4,2,0
Cross.list-byid-medicationstatements-xml,4,2,0
Cross.list-byid-medicinalproductauthorizations,4,0,0
Cross.list-byid-medicinalproductauthorizations-json,4,1,0
Cross.list-byid-medicinalproductauthorizations-xml,4,2,0
Cross.list-byid-medicinalproductcontraindications,4,0,0
Cross.list-byid-medicinalproductcontraindications-json,4,1,0
Cross.list-byid-medicinalproductcontraindications-xml,4,1,0
Cross.list-byid-medicinalproductindications,4,0,0
Cross.list-byid-medicinalproductindications-json,4,0,0
Cross.list-byid-medicinalproductindications-xml,4,0,0
Cross.list-byid-medicinalproductingredients,4,0,0
Cross.list-byid-medicinalproductingredients-json,4,1,0
Cross.list-byid-medicinalproductingredients-xml,4,3,0
Cross.list-byid-medicinalproductinteractions,4,0,0
Cross.list-byid-medicinalproductinteractions-json,4,0,0
Cross.list-byid-medicinalproductinteractions-xml,4,0,0
Cross.list-byid-medicinalproductmanufactureds,4,0,0
Cross.list-byid-medicinalproductmanufactureds-json,4,1,0
Cross.list-byid-medicinalproductmanufactureds-xml,4,1,0
Cross.list-byid-medicinalproductpackageds,4,0,0
Cross.list-byid-medicinalproductpackageds-json,4,0,0
Cross.list-byid-medicinalproductpackageds-xml,4,2,0
Cross.list-byid-medicinalproductpharmaceuticals,4,1,0
Cross.list-byid-medicinalproductpharmaceuticals-json,4,2,0
Cross.list-byid-medicinalproductpharmaceuticals-xml,4,2,0
Cross.list-byid-medicinalproducts,4,0,0
Cross.list-byid-medicinalproducts-json,4,0,0
Cross.list-byid-medicinalproducts-xml,4,0,0
Cross.list-byid-medicinalproductundesirableeffects,4,0,0
Cross.list-byid-medicinalproductundesirableeffects-json,4,1,0
Cross.list-byid-medicinalproductundesirableeffects-xml,4,2,0
Cross.list-byid-messagedefinitions,4,1,0
Cross.list-byid-messagedefinitions-json,4,2,0
Cross.list-byid-messagedefinitions-xml,4,3,0
Cross.list-byid-messageheaders,4,1,0
Cross.list-byid-messageheaders-json,4,2,0
Cross.list-byid-messageheaders-xml,4,2,0
Cross.list-byid-molecularsequences,4,0,0
Cross.list-byid-molecularsequences-json,4,1,0
Cross.list-byid-molecularsequences-xml,4,1,0
Cross.list-byid-namingsystems,4,0,0
Cross.list-byid-namingsystems-json,4,0,0
Cross.list-byid-namingsystems-xml,4,1,0
Cross.list-byid-nutritionorders,4,0,0
Cross.list-byid-nutritionorders-json,4,1,0
Cross.list-byid-nutritionorders-xml,4,1,0
Cross.list-byid-observationdefinitions,4,1,0
Cross.list-byid-observationdefinitions-json,4,2,0
Cross.list-byid-observationdefinitions-xml,4,2,0
Cross.list-byid-observations,4,0,0
Cross.list-byid-observations-json,4,0,0
Cross.list-byid-observations-xml,4,1,0
Cross.list-byid-operationdefinitions,4,0,0
Cross.list-byid-operationdefinitions-json,4,1,0
Cross.list-byid-operationdefinitions-xml,4,2,0
Cross.list-byid-operationoutcomes,4,1,0
Cross.list-byid-operationoutcomes-json,4,1,0
Cross.list-byid-operationoutcomes-xml,4,1,0
Cross.list-byid-organizationaffiliations,4,0,0
Cross.list-byid-organizationaffiliations-json,4,1,0
Cross.list-byid-organizationaffiliations-xml,4,1,0
Cross.list-byid-organizations,4,1,0
Cross.list-byid-organizations-json,4,1,0
Cross.list-byid-organizations-xml,4,1,0
Cross.list-byid-parameters,4,0,0
Cross.list-byid-parameters-json,4,0,0
Cross.list-byid-parameters-xml,4,1,0
Cross.list-byid-patients,4,0,0
Cross.list-byid-patients-json,4,0,0
Cross.list-byid-patients-xml,4,1,0
Cross.list-byid-paymentnotices,4,0,0
Cross.list-byid-paymentnotices-json,4,1,0
Cross.list-byid-paymentnotices-xml,4,1,0
Cross.list-byid-paymentreconciliations,4,0,0
Cross.list-byid-paymentreconciliations-json,4,0,0
Cross.list-byid-paymentreconciliations-xml,4,0,0
Cross.list-byid-people,4,0,0
Cross.list-byid-people-json,4,1,0
Cross.list-byid-people-xml,4,2,0
Cross.list-byid-plandefinitions,4,1,0
Cross.list-byid-plandefinitions-json,4,1,0
Cross.list-byid-plandefinitions-xml,4,1,0
Cross.list-byid-practitionerroles,4,0,0
Cross.list-byid-practitionerroles-json,4,0,0
Cross.list-byid-practitionerroles-xml,4,1,0
Cross.list-byid-practitioners,4,0,0
Cross.list-byid-practitioners-json,4,0,0
Cross.list-byid-practitioners-xml,4,0,0
Cross.list-byid-procedures,4,0,0
Cross.list-byid-procedures-json,4,0,0
Cross.list-byid-procedures-xml,4,0,0
Cross.list-byid-provenances,4,0,0
Cross.list-byid-provenances-json,4,0,0
Cross.list-byid-provenances-xml,4,0,0
Cross.list-byid-questionnaireresponses,4,0,0
Cross.list-byid-questionnaireresponses-json,4,2,0
Cross.list-byid-questionnaireresponses-xml,4,2,0
Cross.list-byid-questionnaires,4,1,0
Cross.list-byid-questionnaires-json,4,1,0
Cross.list-byid-questionnaires-xml,4,1,0
Cross.list-byid-relatedpeople,4,1,0
Cross.list-byid-relatedpeople-json,4,1,0
Cross.list-byid-relatedpeople-xml,4,2,0
Cross.list-byid-requestgroups,4,1,0
Cross.list-byid-requestgroups-json,4,2,0
Cross.list-byid-requestgroups-xml,4,2,0
Cross.list-byid-requirements,4,0,0
Cross.list-byid-requirements-json,4,0,0
Cross.list-byid-requirements-xml,4,2,0
Cross.list-byid-researchdefinitions,4,0,0
Cross.list-byid-researchdefinitions-json,4,2,0
Cross.list-byid-researchdefinitions-xml,4,3,0
Cross.list-byid-researchelementdefinitions,4,0,0
Cross.list-byid-researchelementdefinitions-json,4,1,0
Cross.list-byid-researchelementdefinitions-xml,4,3,0
Cross.list-byid-researchstudies,4,0,0
Cross.list-byid-researchstudies-json,4,1,0
Cross.list-byid-researchstudies-xml,4,2,0
Cross.list-byid-researchsubjects,4,1,0
Cross.list-byid-researchsubjects-json,4,1,0
Cross.list-byid-researchsubjects-xml,4,3,0
Cross.list-byid-riskassessments,4,0,0
Cross.list-byid-riskassessments-json,4,0,0
Cross.list-byid-riskassessments-xml,4,1,0
Cross.list-byid-riskevidencesyntheses,4,1,0
Cross.list-byid-riskevidencesyntheses-json,4,1,0
Cross.list-byid-riskevidencesyntheses-xml,4,1,0
Cross.list-byid-schedules,4,0,0
Cross.list-byid-schedules-json,4,1,0
Cross.list-byid-schedules-xml,4,1,0
Cross.list-byid-searchparameters,4,1,0
Cross.list-byid-searchparameters-json,4,1,0
Cross.list-byid-searchparameters-xml,4,1,0
Cross.list-byid-servicerequests,4,0,0
Cross.list-byid-servicerequests-json,4,0,0
Cross.list-byid-servicerequests-xml,4,1,0
Cross.list-byid-slots,4,0,0
Cross.list-byid-slots-json,4,0,0
Cross.list-byid-slots-xml,4,2,0
Cross.list-byid-specimen,4,0,0
Cross.list-byid-specimen-json,4,1,0
Cross.list-byid-specimen-xml,4,1,0
Cross.list-byid-specimendefinitions,4,1,0
Cross.list-byid-specimendefinitions-json,4,1,0
Cross.list-byid-specimendefinitions-xml,4,2,0
Cross.list-byid-structuredefinitions,4,4,6204
Cross.list-byid-structuredefinitions-json,4,4,6404
Cross.list-byid-structuredefinitions-xml,4,4,6364
Cross.list-byid-structuremaps,4,0,0
Cross.list-byid-structuremaps-json,4,1,0
Cross.list-byid-structuremaps-xml,4,1,0
Cross.list-byid-subscriptions,4,0,0
Cross.list-byid-subscriptions-json,4,0,0
Cross.list-byid-subscriptions-xml,4,2,0
Cross.list-byid-subscriptiontopics,4,0,0
Cross.list-byid-subscriptiontopics-json,4,1,0
Cross.list-byid-subscriptiontopics-xml,4,1,0
Cross.list-byid-substancenucleicacids,4,0,0
Cross.list-byid-substancenucleicacids-json,4,0,0
Cross.list-byid-substancenucleicacids-xml,4,2,0
Cross.list-byid-substancepolymers,4,0,0
Cross.list-byid-substancepolymers-json,4,1,0
Cross.list-byid-substancepolymers-xml,4,1,0
Cross.list-byid-substanceproteins,4,2,0
Cross.list-byid-substanceproteins-json,4,3,0
Cross.list-byid-substanceproteins-xml,4,3,0
Cross.list-byid-substancereferenceinformations,4,0,0
Cross.list-byid-substancereferenceinformations-json,4,0,0
Cross.list-byid-substancereferenceinformations-xml,4,0,0
Cross.list-byid-substances,4,1,0
Cross.list-byid-substances-json,4,2,0
Cross.list-byid-substances-xml,4,3,0
Cross.list-byid-substancesourcematerials,4,0,0
Cross.list-byid-substancesourcematerials-json,4,1,0
Cross.list-byid-substancesourcematerials-xml,4,1,0
Cross.list-byid-substancespecifications,4,0,0
Cross.list-byid-substancespecifications-json,4,0,0
Cross.list-byid-substancespecifications-xml,4,1,0
Cross.list-byid-supplydeliveries,4,0,0
Cross.list-byid-supplydeliveries-json,4,0,0
Cross.list-byid-supplydeliveries-xml,4,1,0
Cross.list-byid-supplyrequests,4,1,0
Cross.list-byid-supplyrequests-json,4,2,0
Cross.list-byid-supplyrequests-xml,4,3,0
Cross.list-byid-tasks,4,0,0
Cross.list-byid-tasks-json,4,2,0
Cross.list-byid-tasks-xml,4,3,0
Cross.list-byid-terminologycapabilities,4,0,0
Cross.list-byid-terminologycapabilities-json,4,1,0
Cross.list-byid-terminologycapabilities-xml,4,1,0
Cross.list-byid-testplans,4,0,0
Cross.list-byid-testplans-json,4,0,0
Cross.list-byid-testplans-xml,4,0,0
Cross.list-byid-testreports,4,0,0
Cross.list-byid-testreports-json,4,1,0
Cross.list-byid-testreports-xml,4,2,0
Cross.list-byid-testscripts,4,0,0
Cross.list-byid-testscripts-json,4,0,0
Cross.list-byid-testscripts-xml,4,2,0
Cross.list-byid-valuesets,4,0,1400
Cross.list-byid-valuesets-json,4,1,1460
Cross.list-byid-valuesets-xml,4,2,1448
Cross.list-byid-verificationresults,4,0,0
Cross.list-byid-verificationresults-json,4,0,0
Cross.list-byid-verificationresults-xml,4,0,0
Cross.list-byid-visionprescriptions,4,0,0
Cross.list-byid-visionprescriptions-json,4,0,0
Cross.list-byid-visionprescriptions-xml,4,0,0
Cross.list-capabilitystatements,4,0,0
Cross.list-capabilitystatements-json,4,0,0
Cross.list-capabilitystatements-xml,4,1,0
Cross.list-careplans,4,0,0
Cross.list-careplans-json,4,1,0
Cross.list-careplans-xml,4,1,0
Cross.list-careteams,4,0,0
Cross.list-careteams-json,4,2,0
Cross.list-careteams-xml,4,2,0
Cross.list-catalogentries,4,0,0
Cross.list-catalogentries-json,4,0,0
Cross.list-catalogentries-xml,4,0,0
Cross.list-chargeitemdefinitions,4,0,0
Cross.list-chargeitemdefinitions-json,4,0,0
Cross.list-chargeitemdefinitions-xml,4,3,0
Cross.list-chargeitems,4,0,0
Cross.list-chargeitems-json,4,1,0
Cross.list-chargeitems-xml,4,2,0
Cross.list-claimresponses,4,0,0
Cross.list-claimresponses-json,4,0,0
Cross.list-claimresponses-xml,4,2,0
Cross.list-claims,4,0,0
Cross.list-claims-json,4,1,0
Cross.list-claims-xml,4,1,0
Cross.list-clinicalimpressions,4,0,0
Cross.list-clinicalimpressions-json,4,0,0
Cross.list-clinicalimpressions-xml,4,0,0
Cross.list-codesystems,4,2,792
Cross.list-codesystems-json,4,2,812
Cross.list-codesystems-xml,4,2,808
Cross.list-communicationrequests,4,0,0
Cross.list-communicationrequests-json,4,0,0
Cross.list-communicationrequests-xml,4,2,0
Cross.list-communications,4,1,0
Cross.list-communications-json,4,2,0
Cross.list-communications-xml,4,2,0
Cross.list-compartmentdefinitions,4,1,0
Cross.list-compartmentdefinitions-json,4,1,0
Cross.list-compartmentdefinitions-xml,4,1,0
Cross.list-compositions,4,0,0
Cross.list-compositions-json,4,1,0
Cross.list-compositions-xml,4,1,0
Cross.list-conceptmaps,4,0,0
Cross.list-conceptmaps-json,4,1,0
Cross.list-conceptmaps-xml,4,3,0
Cross.list-conditions,4,0,0
Cross.list-conditions-json,4,1,0
Cross.list-conditions-xml,4,1,0
Cross.list-consents,4,0,0
Cross.list-consents-json,4,1,0
Cross.list-consents-xml,4,2,0
Cross.list-contracts,4,0,0
Cross.list-contracts-json,4,1,0
Cross.list-contracts-xml,4,1,0
Cross.list-coverageeligibilityrequests,4,0,0
Cross.list-coverageeligibilityrequests-json,4,2,0
Cross.list-coverageeligibilityrequests-xml,4,2,0
Cross.list-coverageeligibilityresponses,4,1,0
Cross.list-coverageeligibilityresponses-json,4,2,0
Cross.list-coverageeligibilityresponses-xml,4,2,0
Cross.list-coverages,4,0,0
Cross.list-coverages-json,4,1,0
Cross.list-coverages-xml,4,1,0
Cross.list-detectedissues,4,1,0
Cross.list-detectedissues-json,4,1,0
Cross.list-detectedissues-xml,4,1,0
Cross.list-devicedefinitions,4,1,0
Cross.list-devicedefinitions-json,4,2,0
Cross.list-devicedefinitions-xml,4,2,0
Cross.list-devicemetrics,4,0,0
Cross.list-devicemetrics-json,4,0,0
Cross.list-devicemetrics-xml,4,1,0
Cross.list-devicerequests,4,1,0
Cross.list-devicerequests-json,4,3,0
Cross.list-devicerequests-xml,4,3,0
Cross.list-devices,4,0,0
Cross.list-devices-json,4,0,0
Cross.list-devices-xml,4,1,0
Cross.list-deviceusestatements,4,1,0
Cross.list-deviceusestatements-json,4,2,0
Cross.list-deviceusestatements-xml,4,2,0
Cross.list-diagnosticreports,4,0,0
Cross.list-diagnosticreports-json,4,0,0
Cross.list-diagnosticreports-xml,4,1,0
Cross.list-documentmanifests,4,0,0
Cross.list-documentmanifests-json,4,1,0
Cross.list-documentmanifests-xml,4,1,0
Cross.list-documentreferences,4,0,0
Cross.list-documentreferences-json,4,1,0
Cross.list-documentreferences-xml,4,2,0
Cross.list-domainresources,4,0,0
Cross.list-domainresources-json,4,1,0
Cross.list-domainresources-xml,4,2,0
Cross.list-effectevidencesyntheses,4,0,0
Cross.list-effectevidencesyntheses-json,4,2,0
Cross.list-effectevidencesyntheses-xml,4,3,0
Cross.list-encounters,4,0,0
Cross.list-encounters-json,4,0,0
Cross.list-encounters-xml,4,1,0
Cross.list-endpoints,4,0,0
Cross.list-endpoints-json,4,0,0
Cross.list-endpoints-xml,4,1,0
Cross.list-enrollmentrequests,4,0,0
Cross.list-enrollmentrequests-json,4,0,0
Cross.list-enrollmentrequests-xml,4,0,0
Cross.list-enrollmentresponses,4,1,0
Cross.list-enrollmentresponses-json,4,1,0
Cross.list-enrollmentresponses-xml,4,2,0
Cross.list-episodeofcares,4,0,0
